user,category,question,answer,detail
redisyoyo,食,﻿西班牙有什麼好吃的、特別的餐廳的嗎？,西班牙有比較不一樣的餐廳嗎?,找餐廳/店家或菜色
redisyoyo,衣,﻿哪裡買得到這種波西米亞風格的衣服,這類波西米亞的衣服哪裡買得到,其他
redisyoyo,衣,gozo有賣女用手套嗎,女用手套在gozo有賣嗎,服裝品牌
redisyoyo,衣,A&F格紋褲是不是比工作短褲緊阿？,工作短褲是不是比A&F格紋褲寬鬆阿?,尺寸問題
redisyoyo,衣,可以推薦個麂皮清潔用品嗎?,跪求清潔麂皮用品??,清洗修改
redisyoyo,衣,TOMMY到過年那時候還會有折扣嗎?,過年時TOMMY會有折扣嗎?,優惠折扣
redisyoyo,衣,請問這個PORTER Smoky 是真品嗎？,這是真正的PORTER Smoky嗎?,商品真偽
redisyoyo,衣,請問我有辦法挽救我的羽絨外套嗎,我的羽絨外套還有得救嗎,清洗修改
redisyoyo,衣,在G2000特賣會買的衣服可以到門市換貨嗎？,在特賣會買的衣服可以在G2000門市換貨嗎?,退換貨及保固
redisyoyo,衣,有關於素t品牌的材質,這個品牌的素T材質,衣物材質
redisyoyo,衣,有鄉民知道 YOHJI YAMAMOTO 的圍巾大概多少錢嗎？,這個YOHJI YAMAMOTO 的圍巾價格大概多少?,價格相關
redisyoyo,住,﻿台北市有可攜帶寵物一同入住的日租型房嗎?,在台北市有日租型房可以帶寵物的嗎?,設施與服務
redisyoyo,住,關於三人入住雙人房的問題,雙人房住三個人的問題,訂退房或入住(Check in)
redisyoyo,住,入住國外飯店時要注意的禁忌..........,出國住飯店時該注意的禁忌...,住宿禮儀或禁忌
redisyoyo,住,請問台灣有沒有便宜的民宿只提供床位和盥洗?,台灣有只提供床位跟盥洗的便宜民宿嗎?,設施與服務
redisyoyo,住,一榮飯店在樂天價格早上跟晚上不同？,在樂天上的一榮飯店早上跟晚上的價格不同?,住宿價格/稅金
redisyoyo,住,持KIX-ITM卡住關西日航飯店會打折嗎?,住關西日航飯店若有KIX-ITM卡會打折嗎?,優惠折扣
redisyoyo,住,想請問The Dorm跟FUKU青年旅店周邊環境安全問題,關於住宿地點的周圍治安問題:The Dorm與FUKU青年旅店,安全問題
redisyoyo,住,可以推薦離地鐵近的住宿嗎？,求住宿地點離地鐵不遠的?,飯店聯絡或基本資訊
redisyoyo,住,請問東橫INN大阪船場2號店交通位置是否方便？20170207開幕,20170207開幕的東橫INN大阪船場2號店交通方便嗎?,飯店聯絡或基本資訊
redisyoyo,住,九份海景雙人房 讓出,讓 九份海景雙人房,訂退房或入住(Check in)
redisyoyo,行,﻿有人坐過Country link的火車嗎,誰坐過Country link的火車?,坐火車
redisyoyo,行,"今日澳洲國際所有航班,因地勤罷工而會嚴重delay,旅客將延誤或完全無法提取行李(老包)",今日澳洲所有國際航班，旅客因地勤罷工會而班機嚴重delay，將延誤甚至完全無法提取行李(老包),搭飛機
redisyoyo,行,請問麗星郵輪帶酒及飲料上船,帶酒及飲料上麗星郵輪求解,搭船/郵輪
redisyoyo,行,8天7夜台中台南 包車服務查詢,台南台中包車推薦 8天7夜,包車
redisyoyo,行,首衝沖繩~想問trc租車保險問題,第一次去沖繩~問trc租車保險問題,安全問題
redisyoyo,行,JR東日本鐵路周遊券（長野、新潟地區）有包含埼玉新都市交通嗎,在埼玉新都市交通還有JR東日本鐵路周遊券（長野、新潟地區）嗎?,交通票卡/票券
redisyoyo,行,駕照譯本更換問題,更換駕照譯本的問題,其他
redisyoyo,行,計程車安全座椅問題,計程車座椅的安全問題,搭計程車
redisyoyo,行,沖繩機場有行李箱寄放的櫃子嗎,沖繩機場有寄放行李箱的櫃子嗎,設施與服務
redisyoyo,行,外國人網絡預訂車票問題,外國人網訂車票的問題,交通票卡/票券
redisyoyo,樂,﻿台灣帶狗狗出遊的好地方,台灣適合帶狗出遊的地方,找景點/活動/店家
